comune_ubicazione;denom_struttura;desc;desc_long;indirizzo;logo;num_telefono;mail;sito_web;pagina_arcigay;facebook;twitter;instagram;youtube;other_links
Reggio Emilia;Arcigay Reggio Emilia “Gioconda, Comitato territoriale Arcigay;Arcigay Gioconda comitato di Reggio Emilia, associazione aperta a tutti e tutte dai 16 anni in su. Per maggiori info scrivici in privato e visita il sito!;;Viale Bernardino Ramazzini, 72, Reggio Emilia, RE, Italia;https://scontent-mxp1-1.xx.fbcdn.net/v/t1.0-9/123143906_4777455955659214_8856952451988444546_n.png?_nc_cat=100&ccb=2&_nc_sid=09cbfe&_nc_ohc=0lW9NWTzWpkAX_FeotS&_nc_ht=scontent-mxp1-1.xx&oh=82f8807ea73a1ba25e6c5af814301efc&oe=6025C1F9;347 307 2286;reggioemilia@arcigay.it, info@arcigayreggioemilia.it;https://arcigayreggioemilia.it/;https://www.arcigay.it/reggio-emilia/;https://www.facebook.com/arcigayreggioemilia;;https://www.instagram.com/arcigaygioconda/;;
Rieti;Rieti LGBT+, Associazione Aderente Arcigay;Il gruppo di riferimento per le persone LGBT della provincia di Rieti e provincia;"Il gruppo di riferimento per le persone LGBT della provincia di Rieti e provincia
Aperto il sabato dalle 17:00 alle 19:00";Piazza Cavour, 9, 02100 Rieti, Rieti RI, Italia;https://scontent-mxp1-1.xx.fbcdn.net/v/t1.0-9/78553160_109525450548584_2054120172905562112_n.jpg?_nc_cat=102&ccb=2&_nc_sid=09cbfe&_nc_ohc=q5WpKF0EB4YAX9TDdKA&_nc_ht=scontent-mxp1-1.xx&oh=8f37b33ee3e36199a3150a4413486b39&oe=6027B678;;rieti@arcigay.it;;https://www.arcigay.it/rieti/;https://www.facebook.com/arcigayrieti;;;;
Rimini;"Arcigay Rimini ""Alan Turing, Comitato territoriale Arcigay";Arcigay Rimini;"Pagina del comitato Arcigay ""Alan Turing"" delle provincie di Rimini e Forlì-Cesena.
Fondato nel 1994, da oltre vent'anni combatte a viso aperto contro le discriminazioni e per cambiare la misera cultura che ancora impedisce a molte lesbiche gay e transessuali di vivere serenamente, apertamente e in sicurezza la propria vita.
";Via Ludovico de Varthema, 26, 47922 Rimini RN, Italia;https://scontent-mxp1-1.xx.fbcdn.net/v/t31.0-8/14567599_1075884815864297_5280653001621160561_o.png?_nc_cat=103&ccb=2&_nc_sid=09cbfe&_nc_ohc=W63xQ_qn0vYAX9HF9pG&_nc_ht=scontent-mxp1-1.xx&oh=98f24add10e1cf48d322bc5fd8391614&oe=6026A988;;rimini@arcigay.it;http://www.arcigay.rimini.it/;https://www.arcigay.it/rimini/;http://www.facebook.com/Arcigayalanturing/;https://www.twitter.com/ArcigayRimini;;;
Roma;Arcigay Roma Gruppo Ora, Comitato territoriale Arcigay;"Arcigay Roma- Gruppo ORA Via Nicola Zabaglia 14 - Roma 06.64501102 
www.arcigayroma.it
info@arcigayroma.it
";;Via Nicola Zabaglia, 14, Roma, 00153 RM, Italia;https://www.arcigay.it/wp-content/uploads/arcigayroma.jpg;06.64501102;roma@arcigay.it, info@arcigayroma.it;http://www.arcigayroma.it/;https://www.arcigay.it/roma/;http://www.facebook.com/ArcigayRM;;;;
Roma;Divine Ostia, Associazione Aderente Arcigay;;;Via Cardinal Ginnasi, 43, Ostia, RM, Italia;;345 7823320;divine2017@libero.it;;https://www.arcigay.it/ostia/;;;;;
Rovigo;Arcigay Rovigo “Politropia, Comitato territoriale Arcigay;"La pagina ufficiale su Facebook di Politropia Arcigay Rovigo!
Vieni a trovarci! 
Siamo aperti tutti i venerdì sera per le nostre attività, guarda gli appuntamenti sul sito.
Se vuoi sostenerci vai a http://www.politropia.org/p/sostienici.html";"Curiosità! Che cosa significa Politropia?
""Politropia"" deriva dal greco ""polus"" e ""tropo"", letteralmente significa essere in grado di volgersi in molti modi. Rappresenta dunque l'essere versatili e il sapersi adattare a molte situazioni... 
E' quello che siamo chiamati a fare ogni giorno nel relazionarci con le persone. Il più famoso ""polutropos"" era addirittura un personaggio omerico: fu Ulisse, che si trovò ad affrontare molte situazioni le quali richiesero il suo ""multiforme ingegno"",riuscendo a superare tutti gli ostacoli e a rimanere sempre se stesso.
...rimanere sempre fedeli a noi stessi in tutte le prove che la vita ci porrà davanti! ";Corso del Popolo, 183, 45100 Rovigo, RO, Italia;https://www.arcigay.it/wp-content/uploads/2016/08/Politropo-tondo.png;3930374909;rovigo@arcigay.it, info@politropia.org;http://www.politropia.org/;https://www.arcigay.it/rovigo/;http://www.facebook.com/politropia/;https://www.twitter.com/politropia;;;
Salerno;"Arcigay ""Marcella di Folco"" Salerno, Comitato territoriale Arcigay";Valori e principi Arcigay crede in una società laica e democratica in cui le libertà individuali e i diritti umani e civili siano riconosciuti, promossi e garantiti senza discriminazioni fondate sull’orientamento sessuale, l’identità di genere e ogni altra condizione personale e sociale e in cui la personalità di ogni individuo possa realizzarsi in un contesto di pace e di sereno rapporto con l’ambiente sociale e naturale. L’associazione è indipendente da qualsiasi governo, ideologia politica, interesse economico o religioso ed è finanziata principalmente dai soci o da donazioni private o pubbliche.;;Piazza Vittorio Veneto, 2, Salerno, SA, Italia;https://www.arcigay.it/wp-content/uploads/arcigaysalerno.jpg;;info@arcigaysalerno.it;http://www.arcigaysalerno.it/;https://www.arcigay.it/salerno/;http://www.facebook.com/Arcigay.Salerno/;;;;
Savona;Arcigay Savona “APERTAMENTE, Comitato territoriale Arcigay;;;;;3402855344;apertamentesavona@gmail.com;;https://www.arcigay.it/savona/;;;;;
Siena;Movimento Pansessuale Arcigay Siena, Comitato territoriale Arcigay;"Il Movimento è una ""casa"" dove essere te stess*, puoi costruire con noi momenti di discussione, di incontro e di formazione sulle tematiche LGBTQIA+*
";"Il ""Movimento Pansessuale"" è un'associazione di promozione sociale nata a Siena ad aprile 2009 dall'iniziativa spontanea di un gruppo di ragazzi e ragazze, con l'intento di creare un movimento che accolga tutti, indipendentemente dal proprio orientamento sessuale e dalla propria identità di genere.
Da febbraio 2011 è diventata un Comitato Arcigay. 
Molte le iniziative realizzate, in corso e in programma: un aperitivo settimanale, cineforum a tema lgbtqi*, feste queer un venerdì al mese, presentazioni di libri, consultorio, un circolo letterario lgbtqi*, seminari e dibattiti, escursioni naturalistiche, rassegne letterarie e molto altro.
La nostra sede è presso ""Metrocubo"" in Via Roma n°77 (dentro al cancello dalla parte opposta della strada rispetto all'ex-ospedale psichiatrico San Niccolò), teatro di molte iniziative e aperta OGNI LUNEDI' dalle 18 alle 20 per servizio di accoglienza.";Via di Città, 101, Siena, SI, Italia;https://scontent-mxp1-1.xx.fbcdn.net/v/t1.0-9/42270090_10156638288974932_5645953884636577792_n.jpg?_nc_cat=105&ccb=2&_nc_sid=09cbfe&_nc_ohc=YL4rmfrbmdMAX_sn1n1&_nc_ht=scontent-mxp1-1.xx&oh=4cdf3a6f4a2d177f1e3fd3561591da2a&oe=6026C91A;345 045 8870;siena@arcigay.it, info@movimentopansessuale.it;http://www.movimentopansessuale.it/;https://www.arcigay.it/siena/;https://www.facebook.com/m.pansessuale/;;http://instagram.com/arcigaysienaofficial;;
Siracusa;Arcigay Siracusa, Comitato territoriale Arcigay;"ARCIGAY SIRACUSA . 
PRESIDENZA : 
LUCIA SCALA (PRESIDENTE) , 
ALESSANDRO DAINOTTI
(VICEPRESIDENTE)
";"E' possibile chiedere assistenza psicologica gratuita scrivendo a info@psicologiazaccagnini.it mettendo nell'oggetto ""chiedilo a noi""";Via Brenta, 65, 96100 Siracusa, SR, Italia;https://scontent-mxp1-1.xx.fbcdn.net/v/t1.0-9/82120264_2738468132902612_8688764770188263424_o.jpg?_nc_cat=110&ccb=2&_nc_sid=09cbfe&_nc_ohc=n0aa5lTm__kAX92lhWM&_nc_ht=scontent-mxp1-1.xx&oh=3e644b36dae0f992f161fc7abb92845d&oe=60270D33;;siracusa@arcigay.it, presidenza.arcigaysiracusa@yahoo.com;http://arcigaysiracusa.altervista.org/;https://www.arcigay.it/siracusa/;http://www.facebook.com/arcigay.siracusa/;;;;
Strambopoli;Strambopoli, Associazione Aderente Arcigay;;;;https://scontent-mxp1-1.xx.fbcdn.net/v/t1.0-9/82120264_2738468132902612_8688764770188263424_o.jpg?_nc_cat=110&ccb=2&_nc_sid=09cbfe&_nc_ohc=n0aa5lTm__kAX92lhWM&_nc_ht=scontent-mxp1-1.xx&oh=3e644b36dae0f992f161fc7abb92845d&oe=60270D33;;strambopoli.taranto@arcigay.it;;https://www.arcigay.it/strambopoli/;;;;;
Taranto;Arcigay Taranto, Associazione Aderente Arcigay;;;;https://scontent-mxp1-1.xx.fbcdn.net/v/t1.0-9/82120264_2738468132902612_8688764770188263424_o.jpg?_nc_cat=110&ccb=2&_nc_sid=09cbfe&_nc_ohc=n0aa5lTm__kAX92lhWM&_nc_ht=scontent-mxp1-1.xx&oh=3e644b36dae0f992f161fc7abb92845d&oe=60270D33;;taranto@arcigay.it;;https://www.arcigay.it/taranto/;;;;;
Teramo;Arcigay Teramo, Associazione Aderente Arcigay;Com. prov. Arcigay della Prov. di Teramo per la promozione e difesa dei diritti umani e civili,delle pari dignità e opportunità,contro le discriminazioni.;"Il Comitato Provinciale Arcigay nasce nel 2010 dalla volontà di ragazzi e ragazze della provincia di Teramo nel sensibilizzare la cittadinanza sui temi che ruotano attorno al mondo LGBT (lesbiche, gay, bisessuali e trasgender), come l’omofobia e le unioni civili, costituendosi ufficialmente Suddivisione Territoriale di Arcigay per la provincia di Teramo nel 2012. 
Oggi Arcigay Teramo vanta un solido gruppo di volontari e soci impegnato nella sensibilizzazione sociale delle tematiche LGBT con attività di vario genere: dalle manifestazioni cittadine alle conferenze con figure di spicco delle realtà attiviste e politiche per la tutela dei diritti delle persone LGBT, senza perdere di vista l'aspetto ricreativo creando opportunità di socializzazione, diventando così centro di attrazione sociale e culturale sopratutto per i giovani.
Offriamo supporto psicologico attraverso uno sportello d'ascolto per tutte quelle persone che trovano difficoltà a confrontare la realtà LGBT con quella territoriale, che siano ragazzi, adulti, figli o genitori. 
Offriamo assistenza legale per vittimi di discriminazione LGBT.
Con tutto l'impegno e la volontà, creiamo con Arcigay Teramo opportunità di confronto e crescita, un movimento di idee, terreno fertile dove far germogliare un domani migliore in cui le persone abbiano la stessa dignità e siano giudicate per le proprie azioni e non per quello che sono.
";Via Nazionale Adriatica, 79/b, Cologna Spiaggia, TE, Italia;https://scontent-mxp1-1.xx.fbcdn.net/v/t31.0-8/13116420_1070419276363571_9180497391887419254_o.png?_nc_cat=106&ccb=2&_nc_sid=09cbfe&_nc_ohc=AjcTvy_tz34AX_m8fs-&_nc_oc=AQl0d3dxLS_XJGeHEBs8AsvEHkHWJ67stzQ8OCSPv1DBHtkItEgyWzACxIzeIMYJYXU&_nc_ht=scontent-mxp1-1.xx&oh=f4052235c0a89d0df0dbfdde93fef9c9&oe=60290BD1;;teramo@arcigay.it;http://arcigayteramo.wordpress.com/;https://www.arcigay.it/teramo/;http://www.facebook.com/arcigay.teramo;;;;https://docs.google.com/forms/d/1rBmw473JAiKD_0IMUGn8eUApivS8ouCkrLIke9YKHdQ/edit
Torino;"Arcigay Torino ""Ottavio Mai, Comitato territoriale Arcigay";"Benvenut* nella fan page ufficiale di ArcigayTorino ""Ottavio Mai""";"A Torino, Arcigay è presente con il Comitato Territoriale “Ottavio Mai”, nato nell’ambito dell’esperienza del Comitato organizzatore del Torino Pride 2006 per volontà di un gruppo di volontarie e volontari. Aderisce al Coordinamento Torino Pride LGBT, che riunisce le associazioni gay, lesbiche, bisessuali e transessuali torinesi. In questa rete Arcigay partecipa all’organizzazione dei Pride di Torino, delle celebrazioni del 17 maggio – Giornata Mondiale contro l’Omofobia e delle altre occasioni di mobilitazione unitaria a livello locale e nazionale. Deve il suo nome ad Ottavio Mai, cofondatore del ""Da Sodoma ad Hollywood"" Torino GLBT Film Festival, di cui l'associazione è stata partner per iniziative e collaborazioni.";Via Bernardino Lanino, 3/a, Torino, TO, Italia;https://scontent-mxp1-1.xx.fbcdn.net/v/t31.0-8/18422296_1341857985849265_5883378324677031882_o.png?_nc_cat=102&ccb=2&_nc_sid=09cbfe&_nc_ohc=TtOv6v6rytsAX-voA-z&_nc_ht=scontent-mxp1-1.xx&oh=ceeb4c6008964ee885a98286c0046ce5&oe=60289D55;011 765 0051;arcigay.torino@gmail.com;http://www.arcigaytorino.it/;https://www.arcigay.it/torino/;http://www.facebook.com/arcigaytorino.ottaviomai/, https://www.facebook.com/young.sterland/;https://www.twitter.com/ArcigayTorino;;;
Trento;Arcigay del Trentino, Comitato territoriale Arcigay;"Comitato provinciale per il Trentino di Arcigay Nazionale
http://www.arcigaytrento.it
";Questa è la pagina del comitato provinciale Arcigay 8 Luglio, affiliato ad Arcigay Nazionale e che ha l'obiettivo di promuovere la visibilità, il benessere, i ciritti delle persone gay, lesbiche, bisessuali, transessuali, transgender, queer e intersessuali e di lottare contro l'omofobia, la transfobia e la lesbofobia.;Via del Torrione, 6, Trento, TN, Italia;https://www.arcigay.it/wp-content/uploads/2016/05/5CC25EA9-A742-4365-868E-ACFEF1313404.jpeg;3342960871;trento@arcigay.it, info@arcigaytrento.it;https://www.arcigaydeltrentino.it/;https://www.arcigay.it/trento/;http://www.facebook.com/arcigaytrentino/, http://www.facebook.com/oltrelemuratrento/;;;;
Trieste;Arcigay Arcobaleno Trieste Gorizia, Comitato territoriale Arcigay;"A fianco delle persone LGBTI e per i diritti umani
""Non è grave il clamore chiassoso dei violenti bensì il silenzio spaventoso delle persone oneste"" - Martin Luther King 
Segui il canale Telegram per scoprire tutte le nostre attività!
";"A fianco delle persone LGBTI e per i diritti umani
""Non è grave il clamore chiassoso dei violenti bensì il silenzio spaventoso delle persone oneste"" - Martin Luther King 
Segui il canale Telegram per scoprire tutte le nostre attività!
Per incontrarci di persona, contattaci (via mail, telefono o Facebook) per prendere un appuntamento :)";Via Pondares, 8, Trieste, 34131 TS, Italia;https://scontent-mxp1-1.xx.fbcdn.net/v/t1.0-9/80229044_1692362647582304_1496640576237214615_n.png?_nc_cat=107&ccb=2&_nc_sid=09cbfe&_nc_ohc=fTmz8h0pXAsAX-p2aIE&_nc_ht=scontent-mxp1-1.xx&oh=56755337fdd641176ac90593c05d25d9&oe=60259DEF;347 133 4052;trieste@arcigay.it;http://www.arcigaytrieste.it/;https://www.arcigay.it/trieste/;http://www.facebook.com/arcigay.triestegorizia;;;;
Udine;"Arcigay Friuli ""Nuovi Passi, Comitato territoriale Arcigay";"""Nessuno può farti sentire inferiore senza il tuo consenso.""
Udine e Pordenone per i diritti LGBT: Civiltà Prodotto Tipico Friulano!
";;;https://www.arcigay.it/wp-content/uploads/arcigayfriuli.jpg;;udine@arcigay.it;http://www.arcigayfriuli.it/;https://www.arcigay.it/udine/;https://www.facebook.com/arcigay.friuli/;;;;
Varese;Arcigay Varese, Comitato territoriale Arcigay;Arcigay Comitato Territoriale delle province di Varese e Como per il benessere, la piena realizzazione e la piena visibilità di ogni persona LGBTI+;"Arcigay è un’associazione nazionale di promozione sociale senza fini di lucro, che opera per la costruzione di una società laica e democratica in cui le libertà individuali e i diritti umani e civili siano riconosciuti, promossi e garantiti senza discriminazioni fondate sull’orientamento sessuale, l’identità di genere e ogni altra condizione personale e sociale e in cui la personalità di ogni individuo possa realizzarsi in un contesto di pace e di sereno rapporto con l’ambiente sociale e naturale.
I valori su cui si fonda l’azione di Arcigay sono:
• il rispetto e la promozione dei diritti umani e civili;
• la laicità e la democraticità delle istituzioni;
• l’inclusione sociale di ogni persona e il rifiuto di ogni discriminazione;
• il sereno rapporto fra ogni individuo e l’ambiente sociale e naturale;
• la libertà, l’uguaglianza, la solidarietà, la non violenza, la pace, l’antifascismo, il rifiuto di ogni totalitarismo;
• la democrazia interna, la partecipazione delle socie e dei soci alla vita dell’Associazione, la trasparenza dei processi decisionali.";Via Bernardino Luini, 15, Varese, VA, Italia;https://www.arcigay.it/wp-content/uploads/2016/07/1_AG_Orizzontale_Colori.png;0332 164 7552;varese@arcigay.it;http://www.arcigayvarese.it/;https://www.arcigay.it/varese/;https://www.facebook.com/arcigayvarese/;https://www.twitter.com/arcigayvarese;http://instagram.com/arcigayvarese;https://www.youtube.com/channel/UCZ8C6jojT01joNpMU0yqb7w;
Verbania;Arcigay Nuovi Colori ONLUS, Comitato territoriale Arcigay;Arcigay Nuovi colori è un'associazione di volontariato senza scopo di lucro, comitato territoriale di Arcigay per le province del VCO e di Novara.;"Arcigay Nuovi Colori nasce nel 2005 come comitato territoriale di Arcigay.
La nostra sede è a Verbania e il nostro territorio comprende le provincie del VCO e di Novara.
Contatti:
cellulare +39 329 3377638
mail info@arcigaynuovicolori.it
sito web www.arcigaynuovicolori.it
Consiglio Direttivo:
Stefano Salerno - Presidente
Michele Moramarco
Presidente onorario
Marco Coppola
Collegio dei Garanti
Secondo il nostro Statuto, l'associazione si impegna in modo specifico a:
- creare le condizioni per l’affermazione della piena realizzazione e della piena visibilità di ogni persona gay, lesbica, bisessuale, intersessuale e transgender;
- combattere il pregiudizio, le discriminazioni e la violenza in ogni loro forma, anche attraverso la formazione e l’aggiornamento di volontari, operatori sociali, educatori ed insegnanti, lavoratori pubblici e privati;
- costruire sul territorio servizi e/o centri polivalenti di cultura LGBTI che forniscano servizi di ascolto e sostegno, supporto socio-psicologico, esistenziale, di promozione della salute, linee di telefono amico, produzione e programmazione culturale;
- promuovere la socializzazione delle persone gay, lesbiche, bisessuali, intersessuali e trans attraverso attività e strutture aggregative e ricreative;
- promuovere una maggiore consapevolezza sui temi dei diritti civili, del superamento del pregiudizio e della lotta alle discriminazioni nell’opinione pubblica tramite l’intervento sui mass media e l’attivazione di propri strumenti e occasioni di informazione;
- lottare per l’abolizione di ogni forma di discriminazione normativa relativa all’orientamento sessuale e all’identità ed espressione di genere e per il pieno riconoscimento legale dell’uguaglianza dei diritti delle coppie formate da partner dello stesso sesso e dei diritti dei loro figli e figlie;
- essere forza di pressione verso le istituzioni e le forze politiche affinché siano messe in atto buone pratiche antidiscriminatorie, supporti all’azione dell’associazione;
- costruire un dialogo e realizzare alleanze con le altre associazioni, i sindacati, le forze sociali e i movimenti al fine di rafforzare la lotta contro le discriminazioni e i pregiudizi e contribuire ad un ampliamento della libertà e dell’uguaglianza di tutti gli individui;
- sostenere le azioni e le rivendicazioni delle persone bisessuali, intersessuali e transgender, e del movimento delle donne;
- promuovere l’inserimento sociale e la valorizzazione delle persone con HIV, favorendone il lavoro e la presenza a tutti i livelli dell'Associazione;
- partecipare ad iniziative a livello europeo e internazionale per ampliare i diritti umani e civili con particolare riferimento a quelli delle persone gay, lesbiche, bisessuali, intersessuali e transgender;
- combattere le discriminazioni verso le persone affette da malattie sessualmente trasmissibili con particolare riferimento all’HIV;
- promuovere una sessualità libera, consapevole e informata. Favorire l’educazione sessuale e la conoscenza e la diffusione delle pratiche di sesso sicuro;
- organizzare e promuovere attività sportive LGBT. ";Via Vittorio Veneto, 135, 28922 Pallanza VB, Italia;https://www.arcigay.it/wp-content/uploads/2016/09/verbania.jpg;329 3377638;info@arcigaynuovicolori.it;https://www.arcigaynuovicolori.it/;https://www.arcigay.it/verbania/;https://www.facebook.com/arcigaynuovicolori/;;;;
Vercelli;Arcigay Rainbow Vercelli, Valsesia, Comitato territoriale Arcigay;Comitato Arcigay della Provincia di Vercelli.;"Ciao a tutt*,
siamo il Comitato Territoriale Arcigay delle provincie di Vercelli e Biella.
Raccogliamo un gruppo di volontar* della Valsesia e del Vercellese, che comprende da sempre persone di ogni orientamento sessuale, allo scopo di dare voce, visibilità e sostegno alla popolazione lesbica, gay, bisessuale e transgender del nostro territorio.
Il nostro primo obiettivo è quello di innalzare la soglia di sensibilità di tutta la popolazione verso i temi, così trascurati, dell’orientamento sessuale e dell’identità di genere, per migliorare la qualità della vita e fermare l’esodo costante delle persone LGBTQI dalla nostra provincia.
Tra le nostre priorità ci sono quindi sicuramente la promozione della salute, intesa come incolumità e benessere fisico, psicologico e sociale delle persone LGBTQI, l’abolizione delle normative discriminatorie, il riconoscimento dei pari diritti e pari dignità delle persone LBGTQI e delle coppie omosessuali e il contrasto all’omo\transfobia in tutte le sue forme.
Per questo attiviamo servizi di supporto alla persona, promuoviamo la visibilità delle persone omosessuali, bisessuali e transessuali nella società, supportiamo le manifestazioni dell’orgoglio (Pride) e tutte le battaglie per i diritti delle persone LGBTQI.
Organizziamo anche iniziative di aggregazione e socializzazione come gli aperitivi gayfriendly del Rainbow Tour in tutti i principali centri della Valsesia e nella provincia di Vercelli, oltre a momenti più conviviali.
Organizziamo incontri con le scuole della zona, in particolare gli Istituti Superiori, per discutere con docenti e studenti di pregiudizi e opinioni in tema di identità sessuale, di libertà di orientamento sessuale e di identità di genere e per contrastare la piaga del bullismo omotransfobico.
Nell’interesse di ciò collaboriamo anche con tutte le altre associazioni LGBTQI per creare e rafforzare una rete stabile di relazioni tra i nostri territori e agiamo da sempre in dialogo e confronto con istituzioni, partiti e sindacati e di alleanza con altri movimenti di promozione civile e sociale e di contribuzione alla più generale difesa delle libertà civili, individuali e collettive.
Al momento non abbiamo ancora una sede pubblica in cui puoi trovarci, però puoi seguire le nostre attività sul nostro blog - www.rainbowvalsesia.wordperss.com -per tenerti sempre aggiornato, oppure puoi richiedere ulteriori informazioni tramite gli indirizzi eMail della sezione contatti del blog.";;https://scontent-mxp1-1.xx.fbcdn.net/v/t1.0-9/42886024_2084786868218300_4071740094527045632_n.jpg?_nc_cat=111&ccb=2&_nc_sid=09cbfe&_nc_ohc=if5iaAyzxQEAX8rTclB&_nc_ht=scontent-mxp1-1.xx&oh=b603950543a6b8b65ca090d18307dc6c&oe=60284D1E;;vercelli@arcigay.it, arcigay.rainbow.vvb@gmail.com;http://www.rainbowvalsesia.wordpress.com/;https://www.arcigay.it/vercelli/;https://www.facebook.com/Arcigay-Rainbow-Valsesia-Vercelli-e-Biella-191113797585626/;;;;
Verona;Pianeta Milk, Verona Lgbt* Center, Arcigay/Arci, Comitato territoriale Arcigay;"Pagina ufficiale del Comitato Territoriale Arcigay Pianeta Urano Verona
";"Pagina ufficiale del Comitato Territoriale Arcigay Pianeta Urano Verona
";Via Scuderlando, 137, Verona, 37135 VR, Italia;https://scontent-mxp1-1.xx.fbcdn.net/v/t1.0-9/22687974_1608115819283290_7580210670706646995_n.jpg?_nc_cat=102&ccb=2&_nc_sid=09cbfe&_nc_ohc=ZvP_ARsB3Y0AX98dtp4&_nc_ht=scontent-mxp1-1.xx&oh=13f6a5e274d0af799fe7a9733a354bad&oe=602690C8;045 973003;verona@arcigay.it;http://www.arcigayverona.org/;https://www.arcigay.it/verona/;https://www.facebook.com/PianetaMilkVerona, https://www.arcigay.it/verona/www.facebook.com/giovanimilkverona/;https://www.twitter.com/pianetaurano;;;
Vicenza;"Arcigay Vicenza ""15 Giugno, Comitato territoriale Arcigay";"Pagina dell'associazione ""15 GIUGNO"" ARCIGAY VICENZA  vicenza@arcigay.it instagram: @arcigayvicenza
Martedì apertura su appuntamento.
Sabato apertura per il Gruppo Giovani (ogni 2 settimane).";;Contrà Barche, 55, 36100 Vicenza VI, Italia;https://scontent-mxp1-1.xx.fbcdn.net/v/t1.0-9/93004098_1836085316524268_5977139113478848512_n.png?_nc_cat=101&ccb=2&_nc_sid=09cbfe&_nc_ohc=Sj_9hrao1ZgAX8q8Vsi&_nc_ht=scontent-mxp1-1.xx&oh=ed8211e7925b04f57fca61fd1e4f7d8e&oe=6025CD1B;347 9650953;vicenza@arcigay.it;http://www.arcigayvicenza.com/;https://www.arcigay.it/vicenza/;http://www.facebook.com/arcigayvicenza, https://www.facebook.com/ArcigayVicenzaGiovani/;;;;
